,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,90,US,1533837360,78,19.71,-155.08,78.8,10.09
1,Hopelchen,75,MX,1533836520,70,19.77,-89.85,86.0,18.34
2,Carnarvon,0,ZA,1533842235,61,-30.97,22.13,40.41,13.22
3,Makakilo City,75,US,1533840060,74,21.35,-158.09,82.4,5.82
4,Albany,20,US,1533840840,45,42.65,-73.75,82.4,13.87
5,Hokitika,80,NZ,1533842236,100,-42.72,170.96,50.85,4.38
6,Port Hawkesbury,90,CA,1533841200,74,45.62,-61.36,78.8,17.22
7,Bay Roberts,75,CA,1533841200,63,47.58,-53.28,66.2,11.41
8,Kaitangata,0,NZ,1533842236,93,-46.28,169.85,39.96,10.65
9,Bambous Virieux,40,MU,1533837600,82,-20.34,57.76,68.0,2.24
10,Huilong,0,CN,1533842237,94,28.89,110.18,73.8,2.04
11,Maragogi,76,BR,1533842237,86,-9.01,-35.22,76.86,10.42
12,Rjukan,92,NO,1533842237,88,59.88,8.59,52.02,3.04
13,Matagami,92,NG,1533842237,92,9.67,8.4,69.84,2.71
14,Qaqortoq,75,GL,1533840600,59,60.72,-46.03,60.8,4.7
15,Cape Town,0,ZA,1533837600,66,-33.93,18.42,53.6,14.99
16,East London,75,ZA,1533837600,87,-33.02,27.91,53.6,3.36
17,Montrose,88,AU,1533841200,62,-37.81,145.34,53.6,16.11
18,Dikson,100,RU,1533842238,79,73.51,80.55,50.4,17.58
19,Rikitea,88,PF,1533842188,100,-23.12,-134.97,73.35,18.14
20,Ponta do Sol,8,BR,1533842238,69,-20.63,-46.0,70.65,8.75
21,Nanortalik,100,GL,1533842238,100,60.14,-45.24,44.1,1.92
22,Esperance,40,TT,1533837600,78,10.24,-61.45,82.4,6.93
23,Atuona,88,PF,1533842238,97,-9.8,-139.03,80.46,16.13
24,Saint-Louis,75,CH,1533841200,64,47.59,7.56,73.4,8.05
25,Tahoua,20,NE,1533837600,58,14.89,5.26,87.8,9.17
26,Baijiantan,0,CN,1533842239,40,45.63,85.18,77.76,6.51
27,Bujaru,48,BR,1533842239,66,-1.52,-48.04,87.12,4.72
28,Egvekinot,80,RU,1533842239,78,66.32,-179.17,33.12,7.07
29,Najran,5,SA,1533837600,13,17.54,44.22,93.2,4.7
30,Bluff,0,AU,1533842232,82,-23.58,149.07,40.86,3.04
31,Peniche,20,PT,1533841200,72,39.36,-9.38,68.0,20.8
